state,country,date,deaths
Jilin,China,6/23/20,2
Jilin,China,6/24/20,2
Jilin,China,6/25/20,2
Jilin,China,6/26/20,2
Jilin,China,6/27/20,2
Jilin,China,6/28/20,2
Jilin,China,6/29/20,2
Jilin,China,6/30/20,2
Jilin,China,7/1/20,2
Jilin,China,7/2/20,2
Jilin,China,7/3/20,2
Jilin,China,7/4/20,2
Jilin,China,7/5/20,2
Jilin,China,7/6/20,2
Jilin,China,7/7/20,2
Jilin,China,7/8/20,2
Jilin,China,7/9/20,2
Jilin,China,7/10/20,2
Jilin,China,7/11/20,2
Jilin,China,7/12/20,2
Jilin,China,7/13/20,2
Jilin,China,7/14/20,2
Jilin,China,7/15/20,2
Jilin,China,7/16/20,2
Liaoning,China,1/22/20,0
Liaoning,China,1/23/20,0
Liaoning,China,1/24/20,0
Liaoning,China,1/25/20,0
Liaoning,China,1/26/20,0
Liaoning,China,1/27/20,0
Liaoning,China,1/28/20,0
Liaoning,China,1/29/20,0
Liaoning,China,1/30/20,0
Liaoning,China,1/31/20,0
Liaoning,China,2/1/20,0
Liaoning,China,2/2/20,0
Liaoning,China,2/3/20,0
Liaoning,China,2/4/20,0
Liaoning,China,2/5/20,0
Liaoning,China,2/6/20,0
Liaoning,China,2/7/20,0
Liaoning,China,2/8/20,0
Liaoning,China,2/9/20,0
Liaoning,China,2/10/20,0
Liaoning,China,2/11/20,0
Liaoning,China,2/12/20,1
Liaoning,China,2/13/20,1
Liaoning,China,2/14/20,1
Liaoning,China,2/15/20,1
Liaoning,China,2/16/20,1
Liaoning,China,2/17/20,1
Liaoning,China,2/18/20,1
Liaoning,China,2/19/20,1
Liaoning,China,2/20/20,1
Liaoning,China,2/21/20,1
Liaoning,China,2/22/20,1
Liaoning,China,2/23/20,1
Liaoning,China,2/24/20,1
Liaoning,China,2/25/20,1
Liaoning,China,2/26/20,1
Liaoning,China,2/27/20,1
Liaoning,China,2/28/20,1
Liaoning,China,2/29/20,1
Liaoning,China,3/1/20,1
Liaoning,China,3/2/20,1
Liaoning,China,3/3/20,1
Liaoning,China,3/4/20,1
Liaoning,China,3/5/20,1
Liaoning,China,3/6/20,1
Liaoning,China,3/7/20,1
Liaoning,China,3/8/20,1
